web-scraper-order,web-scraper-start-url,team,team-href,team-name,team-code,league,stadium-name,capacity,adress,market-value
1589450837-40,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Genclerbirligi Ankara,https://www.transfermarkt.us/genclerbirligi-ankara/startseite/verein/820/saison_id/2019,Genclerbirligi Ankara,GSK,Super Lig,Eryaman Stadyumu,22000,Ankara,14.71
1589450841-42,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Göztepe,https://www.transfermarkt.us/goztepe-izmir/startseite/verein/1467/saison_id/2019,Göztepe,GOZ,Super Lig,Gürsel Aksel Stadyumu,20035,Izmir,16.01
1589450855-49,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Alanyaspor,https://www.transfermarkt.us/alanyaspor/startseite/verein/11282/saison_id/2019,Alanyaspor,ANY,Super Lig,Bahçeşehir Okulları Stadyumu,10128,Antalya,22.14
1589450859-51,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Sivasspor,https://www.transfermarkt.us/sivasspor/startseite/verein/2381/saison_id/2019,Sivasspor,SIV,Super Lig,Sivas Arena,27532,Sivas,29.04
1589450849-46,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Konyaspor,https://www.transfermarkt.us/torku-konyaspor/startseite/verein/2293/saison_id/2019,Konyaspor,KON,Super Lig,Torku Arena,41981,Konya,18.84
1589450851-47,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Caykur Rizespor,https://www.transfermarkt.us/caykur-rizespor/startseite/verein/126/saison_id/2019,Caykur Rizespor,CAY,Super Lig,Çaykur Didi Stadyumu,15558,Rize,20.82
1589450869-56,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Galatasaray SK,https://www.transfermarkt.us/galatasaray-istanbul/startseite/verein/141/saison_id/2019,Galatasaray SK,GAL,Super Lig,Türk Telekom Stadium,52695,Istanbul,91.74
1589450863-53,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Besiktas JK,https://www.transfermarkt.us/besiktas-istanbul/startseite/verein/114/saison_id/2019,Besiktas JK,BES,Super Lig,Vodafone Park,41903,Istanbul,60.09
1589450845-44,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Antalyaspor,https://www.transfermarkt.us/medical-park-antalyaspor/startseite/verein/589/saison_id/2019,Antalyaspor,ANT,Super Lig,Antalya Arena,32539,Antalya,18.43
1589450861-52,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Istanbul Basaksehir FK,https://www.transfermarkt.us/istanbul-buyuksehir-belediyespor/startseite/verein/6890/saison_id/2019,Istanbul Basaksehir FK,IBA,Super Lig,Fatih Terim Stadyumu,17319,Istanbul,53.02
1589450843-43,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Kayserispor,https://www.transfermarkt.us/kayserispor/startseite/verein/3205/saison_id/2019,Kayserispor,KAY,Super Lig,Kadir Has Stadyumu,32864,Kayseri,17.05
1589450867-55,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Trabzonspor,https://www.transfermarkt.us/trabzonspor/startseite/verein/449/saison_id/2019,Trabzonspor,TRA,Super Lig,MedicalPark Stadyumu,41461,Trabzon,80.88
1589450835-39,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,MKE Ankaragücü,https://www.transfermarkt.us/mke-ankaragucu/startseite/verein/868/saison_id/2019,MKE Ankaragücü,ANK,Super Lig,Eryaman Stadyumu,22000,Ankara,11.91
1589450865-54,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Fenerbahce SK,https://www.transfermarkt.us/fenerbahce-istanbul/startseite/verein/36/saison_id/2019,Fenerbahce SK,FEN,Super Lig,Şükrü Saraçoğlu Stadyumu,50509,Istanbul,72.52
1589450853-48,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Gaziantep FK,https://www.transfermarkt.us/gaziantep-buyuksehir-belediyespor/startseite/verein/2832/saison_id/2019,Gaziantep FK,GAG,Super Lig,Gaziantep Stadyumu,35574,Gaziantep,21.12
1589450857-50,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Kasimpasa,https://www.transfermarkt.us/kasimpasa/startseite/verein/10484/saison_id/2019,Kasimpasa,KSK,Super Lig,Recep Tayyip Erdoğan Stadyumu,14234,Istanbul,27.53
1589450847-45,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Yeni Malatyaspor,https://www.transfermarkt.us/yeni-malatyaspor/startseite/verein/19789/saison_id/2019,Yeni Malatyaspor,YMA,Super Lig,Yeni Malatya Stadyumu,27044,Malatya,18.81
1589450839-41,https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1,Denizlispor,https://www.transfermarkt.us/tekden-denizlispor/startseite/verein/833/saison_id/2019,Denizlispor,DEN,Super Lig,Denizli Atatürk Stadyumu,14979,Denizli,15.90
