web-scraper-order,web-scraper-start-url,team,team-href,img_url-src
"1590505159-9","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Caykur Rizespor","https://www.transfermarkt.us/caykur-rizespor/startseite/verein/126/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/126.png?lm=1443714784"
"1590505147-4","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Göztepe","https://www.transfermarkt.us/goztepe-izmir/startseite/verein/1467/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/1467.png?lm=1441199242"
"1590505140-1","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","MKE Ankaragücü","https://www.transfermarkt.us/mke-ankaragucu/startseite/verein/868/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/868.png?lm=1582635029"
"1590505174-14","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Istanbul Basaksehir FK","https://www.transfermarkt.us/istanbul-buyuksehir-belediyespor/startseite/verein/6890/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/6890.png?lm=1521449959"
"1590505154-7","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Antalyaspor","https://www.transfermarkt.us/medical-park-antalyaspor/startseite/verein/589/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/589.png?lm=1473110173"
"1590505171-13","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Sivasspor","https://www.transfermarkt.us/sivasspor/startseite/verein/2381/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/2381.png?lm=1408653992"
"1590505181-17","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Trabzonspor","https://www.transfermarkt.us/trabzonspor/startseite/verein/449/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/449.png?lm=1565126058"
"1590505145-3","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Denizlispor","https://www.transfermarkt.us/tekden-denizlispor/startseite/verein/833/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/833.png?lm=1415444729"
"1590505183-18","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Galatasaray SK","https://www.transfermarkt.us/galatasaray-istanbul/startseite/verein/141/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/141.png?lm=1406739071"
"1590505150-5","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Kayserispor","https://www.transfermarkt.us/kayserispor/startseite/verein/3205/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/3205.png?lm=1520239955"
"1590505176-15","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Besiktas JK","https://www.transfermarkt.us/besiktas-istanbul/startseite/verein/114/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/114.png?lm=1502974502"
"1590505162-10","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Gaziantep FK","https://www.transfermarkt.us/gaziantep-buyuksehir-belediyespor/startseite/verein/2832/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/2832.png?lm=1574956384"
"1590505168-12","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Kasimpasa","https://www.transfermarkt.us/kasimpasa/startseite/verein/10484/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/10484.png?lm=1408653850"
"1590505152-6","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Yeni Malatyaspor","https://www.transfermarkt.us/yeni-malatyaspor/startseite/verein/19789/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/19789.png?lm=1441755473"
"1590505143-2","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Genclerbirligi Ankara","https://www.transfermarkt.us/genclerbirligi-ankara/startseite/verein/820/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/820.png?lm=1408653608"
"1590505178-16","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Fenerbahce SK","https://www.transfermarkt.us/fenerbahce-istanbul/startseite/verein/36/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/36.png?lm=1406739123"
"1590505157-8","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Konyaspor","https://www.transfermarkt.us/torku-konyaspor/startseite/verein/2293/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/2293.png?lm=1519828204"
"1590505165-11","https://www.transfermarkt.us/super-lig/startseite/wettbewerb/TR1","Alanyaspor","https://www.transfermarkt.us/alanyaspor/startseite/verein/11282/saison_id/2019","https://tmssl.akamaized.net/images/wappen/head/11282.png?lm=1489273987"
