web-scraper-order,team-link,player_profile_link,player-name,nationality,date-of-birth,height,position,foot,current-club,contract-start,contract-end,img-link-src
1589389645-459,Trabzonspor,Guilherme,Guilherme,null,May 211991,174 m,Right Winger,left,null,null,30.06.2021,https://tmssl.akamaized.net/images/portrait/header/139607-1580561716.png?lm=1580561754
1589389423-360,Sivasspor,Isaac Cofie,Isaac Cofie,Ghana,Sep 20 1991,184 m,Central Midfield,right,null,null,30.06.2021,https://tmssl.akamaized.net/images/portrait/header/99327-1566990031.jpg?lm=1566990051
1589389451-373,Sivasspor,Aaron Appindangoyé,Aaron Appindangoyé,Gabon,Feb 20 1992,184 m,Centre-Back,right,null,null,30.06.2021,https://tmssl.akamaized.net/images/portrait/header/254249-1566990118.jpg?lm=1566990131
1589389384-342,Kasimpasa,Tomas Brecka,Tomas Brecka,Czech Rep U21,May 121994,185 m,Centre-Back,left,null,null,31.05.2023,https://tmssl.akamaized.net/images/portrait/header/265879-1579360410.jpeg?lm=1579360446
1589389592-435,Fenerbahce SK,Miha Zajc,Miha Zajc,Slovenia,Jul 1 1994,178 m,Attacking Midfield,right,null,null,30.06.2023,https://tmssl.akamaized.net/images/portrait/header/149829-1567081059.JPG?lm=1567081072
1589389719-493,Galatasaray SK,Ömer Bayram,Ömer Bayram,Turkey,Jul 27 1991,175 m,Left Midfield,left,null,null,30.06.2021,https://tmssl.akamaized.net/images/portrait/header/117586-1572959849.jpg?lm=1572959867
1589388767-80,Denizlispor,Özgür Cek,Özgür Cek,Turkey U23,Jan 3 1991,174 m,Left-Back,left,null,null,30.06.2022,https://tmssl.akamaized.net/images/portrait/header/52262-1568130779.jpg?lm=1568130788
1589389545-415,Besiktas JK,Gökhan Gönül,Gökhan Gönül,Turkey,Jan 4 1985,175 m,Right-Back,right,null,null,30.06.2020,https://tmssl.akamaized.net/images/portrait/header/33793-1568213471.JPG?lm=1568213544
1589389539-412,Besiktas JK,Atiba Hutchinson,Atiba Hutchinson,Canada,Feb 8 1983,187 m,Defensive Midfield,right,null,Jul 10 2019,30.06.2020,https://tmssl.akamaized.net/images/portrait/header/16101-1568299944.JPG?lm=1568299991
1589388724-62,Genclerbirligi Ankara,Kristoffer Nordfeldt,Kristoffer Nordfeldt,Sweden,Jun 23 1989,190 m,Goalkeeper,right,null,null,30.06.2021,https://tmssl.akamaized.net/images/portrait/header/75890-1580915057.jpeg?lm=1580915074
